3003.802,03116.674
3003.792,03116.678
3003.782,03116.683
3003.771,03116.687
3003.761,03116.692
3003.765,03116.703
3003.768,03116.715
3003.771,03116.727
3003.775,03116.739
3003.778,03116.751
3003.782,03116.763
3003.785,03116.775
3003.788,03116.786
3003.792,03116.798
3003.795,03116.810
3003.798,03116.822
3003.802,03116.834
3003.805,03116.846
3003.809,03116.857
3003.813,03116.869
3003.817,03116.880
3003.821,03116.892
3003.825,03116.904
3003.829,03116.915
3003.833,03116.927
3003.837,03116.939
3003.840,03116.950
3003.851,03116.946
3003.861,03116.942
3003.871,03116.937
3003.881,03116.933
3003.891,03116.929
3003.901,03116.925
3003.912,03116.920
3003.922,03116.916
3003.932,03116.912
3003.942,03116.908
3003.952,03116.904
3003.962,03116.899
3003.972,03116.895
3003.983,03116.891
3003.993,03116.887
3004.003,03116.882
3003.999,03116.871
3003.996,03116.859
3003.992,03116.847
3003.988,03116.835
3003.984,03116.824
3003.981,03116.812
